         10340073 function calls (10076572 primitive calls) in 130.711 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38    0.000    0.000  213.133    5.609 //venv/lib/python3.12/site-packages/pymongo/synchronous/monitor.py:241(_check_server)
       38    0.001    0.000  213.048    5.607 //venv/lib/python3.12/site-packages/pymongo/synchronous/monitor.py:284(_check_once)
       38    0.001    0.000  213.039    5.606 //venv/lib/python3.12/site-packages/pymongo/synchronous/monitor.py:343(_check_with_socket)
       38    0.001    0.000  213.037    5.606 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:470(_next_reply)
    37/35    0.001    0.000  212.681    6.077 //venv/lib/python3.12/site-packages/pymongo/synchronous/monitor.py:202(_run)
    37/25    0.000    0.000  116.639    4.666 //venv/lib/python3.12/site-packages/pymongo/synchronous/monitor.py:470(_run)
    37/25    0.001    0.000  116.639    4.666 //venv/lib/python3.12/site-packages/pymongo/synchronous/monitor.py:483(_ping)
    37/25    0.000    0.000  116.589    4.664 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:378(hello)
    37/25    0.001    0.000  116.589    4.664 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:381(_hello)
    37/25    0.001    0.000  116.580    4.663 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:478(command)
    37/25    1.045    0.028  116.579    4.663 //venv/lib/python3.12/site-packages/pymongo/synchronous/network.py:71(command)
     41/7    0.011    0.000  107.897   15.414 //venv/lib/python3.12/site-packages/pymongo/synchronous/helpers.py:39(inner)
    80/39    0.001    0.000  107.598    2.759 //venv/lib/python3.12/site-packages/pymongo/synchronous/network.py:307(receive_message)
   160/79    5.172    0.032  107.548    1.361 //venv/lib/python3.12/site-packages/pymongo/synchronous/network.py:384(_receive_data_on_socket)
    43/36    0.000    0.000  104.650    2.907 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:584(receive_message)
 1589/337    0.091    0.000  100.790    0.299 //venv/lib/python3.12/site-packages/pymongo/synchronous/network.py:351(wait_for_read)
    74/31    0.001    0.000  100.172    3.231 //venv/lib/python3.12/site-packages/pymongo/synchronous/monitor.py:72(target)
2721/1231    0.279    0.000   88.665    0.072 //venv/lib/python3.12/site-packages/pymongo/socket_checker.py:45(select)
      247    0.005    0.000   16.392    0.066 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/selectors.py:402(select)
1589/1567    0.014    0.000    8.289    0.005 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1237(recv_into)
1589/1567    0.007    0.000    7.751    0.005 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1095(read)
1589/1567    6.947    0.004    6.947    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      2/1    0.011    0.005    5.148    5.148 //main.py:361(generate_map_data)
     5000    0.009    0.000    4.473    0.001 //venv/lib/python3.12/site-packages/folium/features.py:826(render)
     5002    0.010    0.000    4.403    0.001 //venv/lib/python3.12/site-packages/folium/map.py:71(render)
        2    0.000    0.000    4.191    2.095 //venv/lib/python3.12/site-packages/branca/element.py:402(render)
     4901    0.001    0.000    4.045    0.001 //venv/lib/python3.12/site-packages/pymongo/synchronous/cursor.py:1280(__next__)
     4901    0.002    0.000    4.044    0.001 //venv/lib/python3.12/site-packages/pymongo/synchronous/cursor.py:1250(next)
        5    0.000    0.000    4.041    0.808 //venv/lib/python3.12/site-packages/pymongo/synchronous/cursor.py:1168(_refresh)
        3    0.000    0.000    4.041    1.347 //venv/lib/python3.12/site-packages/pymongo/synchronous/cursor.py:1085(_send_message)
      6/3    0.001    0.000    4.041    1.347 //venv/lib/python3.12/site-packages/pymongo/_csot.py:112(csot_wrapper)
        3    0.000    0.000    3.792    1.264 //venv/lib/python3.12/site-packages/pymongo/synchronous/mongo_client.py:1704(_run_operation)
        3    0.000    0.000    3.792    1.264 //venv/lib/python3.12/site-packages/pymongo/synchronous/mongo_client.py:1832(_retryable_read)
      4/3    0.000    0.000    3.790    1.263 //venv/lib/python3.12/site-packages/pymongo/synchronous/mongo_client.py:1793(_retry_internal)
      4/3    0.000    0.000    3.790    1.263 //venv/lib/python3.12/site-packages/pymongo/synchronous/mongo_client.py:2536(run)
      4/3    0.000    0.000    3.790    1.263 //venv/lib/python3.12/site-packages/pymongo/synchronous/mongo_client.py:2684(_read)
      4/3    0.000    0.000    3.790    1.263 //venv/lib/python3.12/site-packages/pymongo/synchronous/mongo_client.py:1738(_cmd)
      4/3    0.167    0.042    3.779    1.260 //venv/lib/python3.12/site-packages/pymongo/synchronous/server.py:137(run_operation)
    19947    0.021    0.000    3.139    0.000 //venv/lib/python3.12/site-packages/branca/element.py:55(__init__)
    10017    0.010    0.000    3.078    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:1164(__new__)
    10017    0.009    0.000    3.068    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:1089(from_string)
    10017    0.012    0.000    3.010    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:728(compile)
        2    0.000    0.000    2.207    1.104 //venv/lib/python3.12/site-packages/folium/folium.py:381(render)
        2    0.000    0.000    2.207    1.103 //venv/lib/python3.12/site-packages/folium/elements.py:15(render)
155129/145079    0.049    0.000    2.023    0.000 {method 'join' of 'str' objects}
  10048/2    0.007    0.000    1.990    0.995 //venv/lib/python3.12/site-packages/jinja2/environment.py:1272(render)
       18    0.001    0.000    1.985    0.110 <template>:4(root)
    10017    0.009    0.000    1.535    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:615(_parse)
40319/20268    0.013    0.000    1.383    0.000 {built-in method builtins.next}
    10017    0.006    0.000    1.307    0.000 //venv/lib/python3.12/site-packages/jinja2/parser.py:53(__init__)
    10017    0.010    0.000    1.293    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:658(_tokenize)
    20034    0.009    0.000    1.269    0.000 //venv/lib/python3.12/site-packages/jinja2/lexer.py:380(__next__)
    10017    0.008    0.000    1.236    0.000 //venv/lib/python3.12/site-packages/jinja2/lexer.py:604(tokenize)
    10017    0.009    0.000    1.229    0.000 //venv/lib/python3.12/site-packages/jinja2/lexer.py:325(__init__)
    20034    0.014    0.000    1.194    0.000 //venv/lib/python3.12/site-packages/jinja2/lexer.py:615(wrap)
    20034    0.034    0.000    1.036    0.000 //venv/lib/python3.12/site-packages/jinja2/lexer.py:669(tokeniter)
    10012    0.010    0.000    0.975    0.000 //venv/lib/python3.12/site-packages/jinja2/runtime.py:692(__call__)
    10012    0.006    0.000    0.962    0.000 //venv/lib/python3.12/site-packages/jinja2/runtime.py:778(_invoke)
     5000    0.050    0.000    0.947    0.000 <template>:31(macro)
    40068    0.920    0.000    0.920    0.000 {method 'match' of 're.Pattern' objects}
    10017    0.006    0.000    0.903    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:679(_generate)
    10017    0.010    0.000    0.897    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:101(generate)
90153/10017    0.050    0.000    0.873    0.000 //venv/lib/python3.12/site-packages/jinja2/visitor.py:35(visit)
    10017    0.077    0.000    0.859    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:829(visit_Template)
    74942    0.020    0.000    0.604    0.000 //venv/lib/python3.12/site-packages/branca/element.py:91(get_name)
    74942    0.351    0.000    0.583    0.000 //venv/lib/python3.12/site-packages/branca/utilities.py:353(_camelify)
    10017    0.002    0.000    0.565    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:700(_compile)
    10017    0.563    0.000    0.563    0.000 {built-in method builtins.compile}
60098/50032    0.060    0.000    0.557    0.000 //venv/lib/python3.12/site-packages/jinja2/runtime.py:262(call)
     5026    0.004    0.000    0.450    0.000 //venv/lib/python3.12/site-packages/jinja2/filters.py:1688(do_tojson)
     5026    0.008    0.000    0.447    0.000 //venv/lib/python3.12/site-packages/jinja2/utils.py:626(htmlsafe_json_dumps)
    10026    0.010    0.000    0.429    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/json/__init__.py:183(dumps)
    10026    0.009    0.000    0.395    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/json/encoder.py:183(encode)
    10016    0.383    0.000    0.383    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/json/encoder.py:205(iterencode)
